Sai Thatigotla
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,12345


Experiment #:,0
Rule:,0212331122222
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
1,8,,0.872,0.8461538461538461,1.9797425209019242,2.199687794731328,0.0022390055640819266,
2,11,,0.848,0.7692307692307692,1.9884610119701294,2.199687794731328,0.0022396304609739394,
3,7,,0.704,0.6923076923076923,2.084586825777591,2.199687794731328,0.062304719721245995,
4,4,,0.5840000000000001,0.6153846153846154,1.869033226249282,2.075869296697727,0.063425784745517,
5,5,,0.43999999999999995,0.5384615384615384,1.6306392679363098,1.9877733714879842,0.05296063649497833,
6,3,,0.36,0.46153846153846156,1.3214337591376613,1.8230264907128848,0.0017540855758799798,
7,9,,0.28,0.3846153846153846,1.200761517297853,1.7004397181410922,0.007373783325751251,
8,10,,0.23199999999999998,0.3076923076923077,1.100730802012891,1.5058762556041068,0.0054272295071313235,
9,6,,0.07999999999999996,0.23076923076923073,0.5058161377413386,1.1451104143815827,0.0013054096074147765,
10,1,,0.05600000000000005,0.15384615384615385,0.3444910460298935,0.7732283485249176,0.002498962671159259,
11,2,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0012416701244294692,
12,12,,0.0,0.0,-0.0,-0.0,0.0012416701244294692,


Experiment #:,4
Rule:,0332311121131
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.4560805454090608,1.7381493331928661,0.03117735573630351,
1,9,,0.912,0.8461538461538461,1.7522459938478605,1.884313527799799,0.011621207500762374,
2,1,,0.888,0.7692307692307692,1.7769951253463383,1.922023142851573,0.01695845185544385,
3,3,,0.808,0.6923076923076923,1.783050442960251,1.8262452584026092,0.009492808686566717,
4,4,,0.688,0.6153846153846154,1.6663959508483068,1.760495029766198,0.009167862302720051,
5,8,,0.5680000000000001,0.5384615384615384,1.2981569136717321,1.4604846813131116,0.009412821884389076,
6,11,,0.544,0.46153846153846156,1.2286268682164592,1.2957378005380122,0.009605915024021036,
7,12,,0.536,0.3846153846153846,1.2294030821575899,1.2389012566026305,0.009602165642668959,
8,5,,0.392,0.3076923076923077,1.17633108083625,1.1401156785146092,0.008969769987951988,
9,6,,0.24,0.23076923076923073,0.9683030221574892,0.9912642605354288,0.0013085340918748407,
10,2,,0.19199999999999995,0.15384615384615385,0.7056366064601749,0.6193821946787638,0.0012785390410582254,
11,7,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0012504186809176485,
12,10,,0.0,0.0,-0.0,-0.0,0.0012410452275374564,


Experiment #:,5
Rule:,0241424331121
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.0236787461817283,2.199687794731328,0.05306999345108057,
1,11,,0.968,0.8461538461538461,2.1020822192933584,2.2577560641285177,0.03280646193378092,
2,10,,0.92,0.7692307692307692,2.189474345142847,2.2954656791802917,0.0640894252448346,
3,3,,0.84,0.6923076923076923,2.1971994421386074,2.2577560641285177,0.06402006168982118,
4,7,,0.696,0.6153846153846154,2.1562311492713446,2.133937566094917,0.06116240820264656,
5,12,,0.688,0.5384615384615384,2.1412313559222667,1.9877733714879842,0.030360615498442756,
6,8,,0.5680000000000001,0.46153846153846156,1.772992318745692,1.6691803368667308,0.031760384536551466,
7,1,,0.544,0.3846153846153846,1.736746000040327,1.4885252948977485,0.031939105047667136,
8,5,,0.4,0.3076923076923077,1.2597218324096136,1.1401156785146092,0.0319228577284748,
9,9,,0.31999999999999995,0.23076923076923073,0.9043814577244937,0.7793498372920851,0.03149480335744602,
10,6,,0.16800000000000004,0.15384615384615385,0.6531091121418667,0.6193821946787638,0.03189286267765819,
11,2,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.03201971674673679,
12,4,,0.0,0.0,-0.0,-0.0,0.0012379207430773921,


Experiment #:,6
Rule:,0314124113414
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8317331068932123,2.038159681645953,0.03969782485889828,
1,5,,0.848,0.8461538461538461,1.7865173250574804,1.884313527799799,0.05250008748556488,
2,7,,0.704,0.7692307692307692,1.900956465048837,1.9500637564362098,0.05718806396944504,
3,11,,0.6799999999999999,0.6923076923076923,1.9000447627806856,1.9500637564362098,0.05946518824393975,
4,12,,0.6719999999999999,0.6153846153846154,1.8985238513007057,1.922023142851573,0.05843223368144256,
5,9,,0.5920000000000001,0.5384615384615384,1.6882579999604326,1.7758589482446405,0.055124654432018715,
6,8,,0.472,0.46153846153846156,1.5621965178520936,1.669180336866731,0.04830078037123874,
7,1,,0.44799999999999995,0.3846153846153846,1.4197702127491154,1.3346791410515946,0.01302847530157524,
8,4,,0.32799999999999996,0.3076923076923077,1.109869531775554,1.1401156785146092,0.001296661050926597,
9,3,,0.248,0.23076923076923073,0.9838840302109433,0.9912642605354287,0.001293536566466533,
10,2,,0.19999999999999996,0.15384615384615385,0.7219280948873623,0.6193821946787638,0.0012810386286262767,
11,6,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.00124854399024161,
12,10,,0.0,0.0,-0.0,-0.0,0.0012385456399694051,


Experiment #:,7
Rule:,0211123412121
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9072019368560804,1.8919954870390203,0.0490250358690816,
1,7,,0.848,0.8461538461538461,1.8619861550203485,1.7381493331928661,0.005539710947693631,
2,5,,0.704,0.7692307692307692,1.8374628336576966,1.7758589482446405,0.01084383576709843,
3,9,,0.624,0.6923076923076923,1.6788574216184586,1.7381493331928664,0.009157863952447847,
4,12,,0.616,0.6153846153846154,1.6800125795604282,1.760495029766198,0.008846665300225463,
5,3,,0.536,0.5384615384615384,1.6660992667911896,1.7381493331928664,0.057562377207760716,
6,11,,0.512,0.46153846153846156,1.5760417278170022,1.573402452417767,0.057524258497347935,
7,8,,0.392,0.3846153846153846,1.456264573960345,1.4885252948977485,0.05753425684762014,
8,2,,0.344,0.3076923076923077,1.3735967605450599,1.3520301017579528,0.0015447451170556858,
9,1,,0.31999999999999995,0.23076923076923073,1.2238041390181933,0.9912642605354288,0.0025752000919848227,
10,6,,0.16800000000000004,0.15384615384615385,0.6531091121418667,0.6193821946787638,0.0012754145565981613,
11,4,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0012535431653777126,
12,10,,0.0,0.0,-0.0,-0.0,0.0012279223928051872,


Experiment #:,8
Rule:,0322442334214
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7598097969543334,2.103909910282364,0.054424145016072345,
1,12,,0.984,0.8461538461538461,1.7988946510971404,2.199687794731328,0.05857033589457739,
2,5,,0.84,0.7692307692307692,2.061249993577739,2.199687794731328,0.06484180110281804,
3,8,,0.72,0.6923076923076923,2.0675883174036804,2.161978179679554,0.052556328205846034,
4,9,,0.64,0.6153846153846154,1.9866648139515113,2.038159681645953,0.052287622542280525,
5,1,,0.616,0.5384615384615384,1.9565464551724085,1.8919954870390203,0.0523694840351342,
6,10,,0.5680000000000001,0.46153846153846156,1.936138467284855,1.8230264907128848,0.038897956837121876,
7,7,,0.42400000000000004,0.3846153846153846,1.4688422675963948,1.4885252948977485,0.03896794528902731,
8,3,,0.344,0.3076923076923077,1.3595929601873493,1.3520301017579528,0.03897419425794744,
9,4,,0.22399999999999998,0.23076923076923073,0.8774415811526233,0.9912642605354287,0.04215491943829268,
10,11,,0.19999999999999996,0.15384615384615385,0.7219280948873623,0.6193821946787638,0.04199432093704539,
11,2,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,0.001283538216194328,
12,6,,0.0,0.0,-0.0,-0.0,0.0012397954337534307,


Experiment #:,9
Rule:,0421232242333
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.711133548682317,2.0381596816459533,0.04232239180535212,
1,7,,0.848,0.8461538461538461,2.1194858763691866,2.161978179679554,0.04702911519599266,
2,3,,0.768,0.7692307692307692,1.9038735151340038,1.95006375643621,0.045581229097198965,
3,9,,0.688,0.6923076923076923,1.936405099264513,1.95006375643621,0.03810558757804962,
4,6,,0.536,0.6153846153846154,1.8324550731474656,1.8843135277997989,0.031292961661325884,
5,12,,0.528,0.5384615384615384,1.823742537661464,1.8339272176418302,0.030441852094404424,
6,4,,0.40800000000000003,0.46153846153846156,1.538184791500131,1.6691803368667308,0.034941109716896714,
7,11,,0.384,0.3846153846153846,1.5005835752132572,1.5465935642949382,0.03492736198527243,
8,10,,0.33599999999999997,0.3076923076923077,1.4077415017977275,1.3520301017579528,0.034959856623657096,
9,5,,0.19199999999999995,0.23076923076923073,0.8614020063563284,0.9912642605354287,0.03687016642254028,
10,2,,0.14400000000000002,0.15384615384615385,0.5946193440950123,0.6193821946787638,0.003937475316572766,
11,1,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.003935600625896727,
12,8,,0.0,0.0,-0.0,-0.0,0.0012404203306454434,


Experiment #:,10
Rule:,0121234441212
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.939393197793449,2.103909910282364,0.04986052301370274,
1,2,,0.944,0.8461538461538461,2.074168859818962,2.199687794731328,0.04996300610399284,
2,9,,0.864,0.7692307692307692,2.1411772504174893,2.237397409783102,0.021772657511510602,
3,5,,0.72,0.6923076923076923,1.861342152290638,1.9877733714879842,0.018425084860997934,
4,6,,0.5680000000000001,0.6153846153846154,1.8510928713366726,1.922023142851573,0.037868751655976765,
5,7,,0.42400000000000004,0.5384615384615384,1.6462206474781285,1.7758589482446405,0.03778626526623107,
6,3,,0.344,0.46153846153846156,1.4174651332448223,1.6691803368667308,0.027602320617098178,
7,11,,0.31999999999999995,0.3846153846153846,1.3156725117179553,1.4885252948977485,0.016131713267310895,
8,10,,0.272,0.3076923076923077,1.209243815107106,1.3520301017579528,0.015308099163638,
9,4,,0.15200000000000002,0.23076923076923073,0.7536417677021642,1.1451104143815827,0.029091449910764722,
10,1,,0.128,0.15384615384615385,0.595100681983585,0.7732283485249176,0.004096199127144021,
11,8,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0012435448151055077,
12,12,,0.0,0.0,-0.0,-0.0,0.001239170536861418,


Experiment #:,11
Rule:,0343112141334
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8561795521276447,2.103909910282364,0.02245129553623652,
1,6,,0.84,0.8461538461538461,1.8103560389890918,1.95006375643621,0.040333969894967334,
2,10,,0.792,0.7692307692307692,1.7970330376778871,1.9877733714879842,0.058324126519124345,
3,12,,0.784,0.6923076923076923,1.7946194364372579,1.95006375643621,0.05826038703613904,
4,2,,0.736,0.6153846153846154,1.759037544947745,1.8262452584026092,0.04969180085285928,
5,4,,0.616,0.5384615384615384,1.8076610130831603,1.7758589482446405,0.04302227632440647,
6,9,,0.536,0.46153846153846156,1.7779158310344858,1.6691803368667308,0.03168664670329396,
7,8,,0.41600000000000004,0.3846153846153846,1.349988341860771,1.3346791410515946,0.0319422295321272,
8,5,,0.272,0.3076923076923077,1.1156405863897432,1.1401156785146092,0.03215594426919558,
9,3,,0.19199999999999995,0.23076923076923073,0.8614020063563284,0.9912642605354287,0.0013210320297150971,
10,1,,0.16800000000000004,0.15384615384615385,0.7525101389436977,0.7732283485249176,0.0012797888348422511,
11,7,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0012510435778096613,
12,11,,0.0,0.0,-0.0,-0.0,0.0012335464648333026,


Experiment #:,12
Rule:,0142243342213
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8400135707408687,2.199687794731328,0.01285537886248769,
1,2,,0.944,0.8461538461538461,2.0001271398800324,2.2577560641285177,0.015075637519809231,
2,10,,0.896,0.7692307692307692,2.0935710975987254,2.295465679180292,0.06780256257717476,
3,12,,0.888,0.6923076923076923,2.1053648448756284,2.2577560641285177,0.06686521723915553,
4,5,,0.744,0.6153846153846154,2.11468177218369,2.133937566094917,0.021833897406927857,
5,3,,0.6639999999999999,0.5384615384615384,2.090291124919672,2.0458416408851736,0.03264211405118155,
6,7,,0.52,0.46153846153846156,1.9631155072639905,1.8810947601100747,0.033581958976768835,
7,9,,0.43999999999999995,0.3846153846153846,1.825968870148821,1.7004397181410922,0.03348010078337074,
8,8,,0.31999999999999995,0.3076923076923077,1.3688083945373872,1.3520301017579528,0.019448041073222917,
9,6,,0.16800000000000004,0.23076923076923073,0.7981133676610608,0.9912642605354288,0.02048849439842426,
10,1,,0.14400000000000002,0.15384615384615385,0.6882225728123753,0.7732283485249176,0.005420355641319183,
11,4,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.001249168887133623,
12,11,,0.0,0.0,-0.0,-0.0,0.0012379207430773921,


Experiment #:,13
Rule:,0342142414232
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.803731018519347,2.1619781796795534,0.017677708178150606,
1,8,,0.872,0.8461538461538461,2.0005578899923693,2.1619781796795534,0.06230284503056996,
2,7,,0.728,0.7692307692307692,2.1163610270988786,2.199687794731328,0.06805064664330386,
3,9,,0.648,0.6923076923076923,2.0819080828402727,2.161978179679554,0.06770132928066869,
4,3,,0.5680000000000001,0.6153846153846154,2.028763550708022,2.1339375660949167,0.06367074432718602,
5,5,,0.42400000000000004,0.5384615384615384,1.717232750915715,1.9877733714879842,0.05184956982097954,
6,4,,0.30400000000000005,0.46153846153846156,1.2556477501087941,1.6691803368667308,0.017446496328105864,
7,10,,0.256,0.3846153846153846,1.1609852339465028,1.5465935642949382,0.014892542730449475,
8,1,,0.23199999999999998,0.3076923076923077,1.054907288874338,1.3520301017579528,0.01424577444721621,
9,2,,0.18400000000000005,0.23076923076923073,0.791537610414061,0.9912642605354288,0.001293536566466533,
10,6,,0.03200000000000003,0.15384615384615385,0.23028557096297186,0.7732283485249176,0.0012597921342978409,
11,11,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.001249168887133623,
12,12,,0.0,0.0,-0.0,-0.0,0.0012385456399694051,


Experiment #:,14
Rule:,0111311324141
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7678425535478017,1.8810947601100745,0.005118530442476991,
1,2,,0.944,0.8461538461538461,1.9633819128974115,2.045841640885174,0.028683392240280353,
2,6,,0.792,0.7692307692307692,2.2073302095315626,2.1339375660949167,0.03944661630830913,
3,8,,0.6719999999999999,0.6923076923076923,1.8965714848632005,1.8843135277997989,0.03858738308179151,
4,3,,0.5920000000000001,0.6153846153846154,1.858021464399508,1.8843135277997989,0.0315816640254358,
5,9,,0.512,0.5384615384615384,1.6249778138625557,1.7381493331928664,0.029679477886148786,
6,11,,0.488,0.46153846153846156,1.485216734610552,1.419556298571613,0.03329325661265891,
7,4,,0.368,0.3846153846153846,1.3044781490655617,1.2389012566026305,0.0317278898981668,
8,12,,0.36,0.3076923076923077,1.292225403259173,1.1401156785146092,0.031809751391020484,
9,10,,0.31200000000000006,0.23076923076923073,1.206135606192519,0.9912642605354288,0.031820999535076715,
10,1,,0.28800000000000003,0.15384615384615385,1.1541236813986258,0.7732283485249176,0.001310408782550879,
11,5,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0012791639379502381,
12,7,,0.0,0.0,-0.0,-0.0,0.001245419505781546,


Experiment #:,15
Rule:,0243423133342
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8648348335436788,2.075869296697727,0.027226757584998474,
1,6,,0.84,0.8461538461538461,2.2513567667390584,2.199687794731328,0.06474931636280014,
2,7,,0.696,0.7692307692307692,1.947964498041879,1.9877733714879844,0.038052471342228535,
3,4,,0.5760000000000001,0.6923076923076923,1.7667743894285484,1.95006375643621,0.03808934025885729,
4,8,,0.45599999999999996,0.6153846153846154,1.6634184726645445,1.922023142851573,0.037976233921402966,
5,12,,0.44799999999999995,0.5384615384615384,1.6500433960165124,1.8339272176418302,0.03786125289327261,
6,3,,0.368,0.46153846153846156,1.50365092468348,1.7272486062639207,0.0013860213064844302,
7,1,,0.344,0.3846153846153846,1.4545263693210848,1.5465935642949382,0.0013803972344563146,
8,9,,0.264,0.3076923076923077,1.2116606846579705,1.3520301017579528,0.001351651977423725,
9,2,,0.21599999999999997,0.23076923076923073,1.0172652666161475,1.1451104143815827,0.001304159813630751,
10,10,,0.16800000000000004,0.15384615384615385,0.7525101389436977,0.7732283485249176,0.001293536566466533,
11,11,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0012879124944384177,
12,5,,0.0,0.0,-0.0,-0.0,0.0012410452275374564,


Experiment #:,16
Rule:,0123431313222
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.841264211881089,2.103909910282364,0.004635485144951083,
1,12,,0.984,0.8461538461538461,1.8684373404080667,2.199687794731328,0.004681727514960031,
2,3,,0.904,0.7692307692307692,2.109305145591662,2.237397409783102,0.017336514475111607,
3,1,,0.88,0.6923076923076923,2.1428429775939475,2.199687794731328,0.011825548784450565,
4,11,,0.856,0.6153846153846154,2.135871120263068,2.133937566094917,0.01785205441102218,
5,6,,0.704,0.5384615384615384,2.109305145591662,1.9877733714879842,0.04909439942409503,
6,9,,0.624,0.46153846153846156,2.106510333000634,1.8810947601100745,0.06090557558002929,
7,10,,0.5760000000000001,0.3846153846153846,1.9864756685312446,1.7004397181410922,0.005804042333015053,
8,7,,0.43200000000000005,0.3076923076923077,1.8105267775950749,1.5058762556041068,0.05544022736248519,
9,5,,0.28800000000000003,0.23076923076923073,1.293330138833352,1.1451104143815827,0.051097818859888115,
10,4,,0.16800000000000004,0.15384615384615385,0.7981133676610607,0.7732283485249176,0.036808301630231015,
11,8,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.03618965370713832,
12,2,,0.0,0.0,-0.0,-0.0,0.001245419505781546,


Experiment #:,17
Rule:,0312231224331
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8265816510125128,2.103909910282364,0.04701599236126039,
1,5,,0.848,0.8461538461538461,2.0143940118459014,2.199687794731328,0.058014177660685985,
2,7,,0.704,0.7692307692307692,2.133166989038395,2.237397409783102,0.061745437002894525,
3,6,,0.552,0.6923076923076923,1.8939497659208788,2.199687794731328,0.0539929661605835,
4,8,,0.43200000000000005,0.6153846153846154,1.776834159533037,2.133937566094917,0.054106697394929834,
5,1,,0.40800000000000003,0.5384615384615384,1.7098159309247425,2.0458416408851736,0.04866197077482216,
6,4,,0.28800000000000003,0.46153846153846156,1.4381071108929615,1.8810947601100747,0.03769440542310519,
7,2,,0.24,0.3846153846153846,1.2129509270447423,1.7004397181410922,0.001327905895527238,
8,9,,0.16000000000000003,0.3076923076923077,0.8318292021277085,1.3520301017579528,0.0013097838856588663,
9,11,,0.136,0.23076923076923073,0.7397290351672458,1.1451104143815827,0.0012972859478186099,
10,3,,0.05600000000000005,0.15384615384615385,0.3444910460298935,0.7732283485249176,0.0012572925467297896,
11,10,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0012416701244294692,
12,12,,0.0,0.0,-0.0,-0.0,0.0012360460524013538,


Experiment #:,18
Rule:,0342124433343
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.95123986607459,2.038159681645953,0.004549249373853315,
1,3,,0.912,0.8461538461538461,2.1231881859677184,2.038159681645953,0.00457049586818175,
2,11,,0.888,0.7692307692307692,2.1672301413488078,2.075869296697727,0.04708723060694985,
3,9,,0.808,0.6923076923076923,2.220769099270443,2.103909910282364,0.0653617153169727,
4,1,,0.784,0.6153846153846154,2.2179374720163763,2.0758692966977272,0.06514112671409217,
5,7,,0.64,0.5384615384615384,2.2057898954675794,1.9877733714879842,0.038554263546514825,
6,12,,0.632,0.46153846153846156,2.197136848170614,1.8810947601100745,0.020784695525238334,
7,8,,0.512,0.3846153846153846,1.949438954261123,1.7004397181410922,0.0017753320702084156,
8,10,,0.46399999999999997,0.3076923076923077,1.7162931689410608,1.3520301017579528,0.0036756435188193947,
9,2,,0.41600000000000004,0.23076923076923073,1.6359456885520167,1.1451104143815827,0.0014353881609534427,
10,5,,0.272,0.15384615384615385,1.1135979330809889,0.7732283485249176,0.0013272809986352252,
11,4,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,0.0012654162063259562,
12,6,,0.0,0.0,-0.0,-0.0,0.0012322966710492768,


Experiment #:,19
Rule:,0134132244244
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.969321716413389,2.1339375660949167,0.03223030699934511,
1,7,,0.848,0.8461538461538461,2.2615005720325407,2.1920058354921066,0.032912069508531094,
2,2,,0.8,0.7692307692307692,2.2582579160517895,2.1339375660949167,0.0328489549224378,
3,6,,0.648,0.6923076923076923,2.0700022621667356,2.038159681645953,0.024257247554153566,
4,1,,0.624,0.6153846153846154,2.034839112430943,1.9143411836123523,0.020443501822199336,
5,9,,0.544,0.5384615384615384,1.9855605756180372,1.8919954870390203,0.020064189408747556,
6,8,,0.42400000000000004,0.46153846153846156,1.7921094608455328,1.8230264907128848,0.012016142336514475,
7,3,,0.344,0.3846153846153846,1.5378558979172934,1.7004397181410922,0.001334779761339379,
8,12,,0.33599999999999997,0.3076923076923077,1.5013447305150904,1.5058762556041068,0.001334779761339379,
9,11,,0.31200000000000006,0.23076923076923073,1.351139861711713,1.1451104143815827,0.0013329050706633405,
10,5,,0.16800000000000004,0.15384615384615385,0.7981133676610607,0.7732283485249176,0.0012885373913304305,
11,10,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.001269790484570046,
12,4,,0.0,0.0,-0.0,-0.0,0.0012404203306454434,


Experiment #:,20
Rule:,0442221421114
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.5754636362951402,1.854285871987246,0.01953865112256478,
1,8,,0.872,0.8461538461538461,1.914931742416812,1.9500637564362102,0.037535681612533935,
2,11,,0.848,0.7692307692307692,1.9404174797156464,1.9877733714879842,0.030537461318882384,
3,6,,0.696,0.6923076923076923,1.914931742416812,1.9500637564362102,0.0592433498472752,
4,7,,0.552,0.6153846153846154,1.7196999563717696,1.9220231428515733,0.05863719986202277,
5,2,,0.504,0.5384615384615384,1.5698678390926752,1.8339272176418302,0.01308596581564042,
6,1,,0.48,0.46153846153846156,1.455517946269769,1.6691803368667308,0.011606834872246079,
7,10,,0.43200000000000005,0.3846153846153846,1.340338597574917,1.4885252948977485,0.011578714512105502,
